OBJECT_NAME,TLE_LINE1,TLE_LINE1
ECHO 1 DEB (METAL OBJ),1 00051U 60009C   24002.20430891  .00000017  00000-0  99980-3 0  9992,2 00051  47.2149 304.8147 0108718  48.3483 312.6554 12.18315025821811
ECHO 1 DEB (METAL OBJ),1 00053U 60009E   24002.00202030 -.00000021  00000-0  62651-3 0  9995,2 00053  47.2746 229.7087 0098433 305.0308  54.1276 12.17319196826136
SCOUT X-1 DEB,1 00085U 61004C   24002.61509494  .00018628  00000-0  27918-2 0  9994,2 00085  38.7468 182.9143 0288409 225.2857 132.4079 14.49742030116133
THOR ABLE DEB (YO),1 00115U 60002D   24001.51220255  .00003283  00000-0  37593-3 0  9990,2 00115  48.1644 165.3685 0032768 200.2346 159.7272 14.87898744383954
THOR ABLESTAR DEB,1 00119U 61015D   24002.58040457  .00000764  00000-0  34481-3 0  9995,2 00119  66.7262 196.9324 0104816 193.2850 166.5483 14.24566588230461
THOR ABLESTAR DEB,1 00120U 61015E   24002.13326199  .00000814  00000-0  34203-3 0  9996,2 00120  66.7053 252.0419 0121022 292.4898  66.3421 14.26931315220208
THOR ABLESTAR DEB,1 00121U 61015F   24002.60207704  .00000085  00000-0  10681-3 0  9993,2 00121  66.7476 109.7800 0100225 271.3466  87.6137 13.99897860200853
THOR ABLESTAR DEB,1 00122U 61015G   24002.08905949  .00004529  00000-0  63680-3 0  9996,2 00122  66.7479 238.3579 0065138 206.0702 153.7137 14.76890500260693
THOR ABLESTAR DEB,1 00123U 61015H   24002.24485470  .00000771  00000-0  26033-3 0  9993,2 00123  66.6862 295.8877 0116436 209.8750 149.5675 14.38650872250356
THOR ABLESTAR DEB,1 00124U 61015J   24002.55932349  .00001413  00000-0  53632-3 0  9999,2 00124  66.5442 101.3042 0070124  30.5175 329.9974 14.32653987230323
THOR ABLESTAR DEB,1 00125U 61015K   24002.43809006  .00000379  00000-0  27090-3 0  9999,2 00125  66.8767  12.2530 0074590 356.2152   3.8361 14.06340342191090
THOR ABLESTAR DEB,1 00126U 61015L   24002.25876176  .00002141  00000-0  70117-3 0  9999,2 00126  66.7132 326.7549 0067542 204.5388 155.2497 14.39066782235241
THOR ABLESTAR DEB,1 00127U 61015M   24002.56841753  .00001824  00000-0  56378-3 0  9997,2 00127  66.8285 178.9202 0071744 333.3068  26.4351 14.42083315237245
THOR ABLESTAR DEB,1 00128U 61015N   24002.14575185  .00000069  00000-0  94652-4 0  9993,2 00128  66.6748 262.3534 0098210 217.2858 142.1382 14.01506990189349
THOR ABLESTAR DEB,1 00130U 61015Q   24002.27636031  .00000086  00000-0  11000-3 0  9992,2 00130  66.7719 315.4759 0088291 203.6755 156.0255 13.98985299185979
THOR ABLESTAR DEB,1 00131U 61015R   24002.58455328  .00000151  00000-0  14853-3 0  9997,2 00131  66.7336 178.1476 0084067 330.6368  29.0005 14.01118414177822
THOR ABLESTAR DEB,1 00132U 61015S   24002.46815853  .00000003  00000-0  59861-4 0  9993,2 00132  66.6608  28.0574 0067891  73.1802 287.6710 13.94495949178620
THOR ABLESTAR DEB,1 00133U 61015T   24002.29674577  .00001115  00000-0  55459-3 0  9994,2 00133  67.1164 334.9660 0050008 138.1741 222.3194 14.19942188205998
THOR ABLESTAR DEB,1 00134U 61015U   24002.56852147  .00000125  00000-0  14101-3 0  9995,2 00134  66.8807  93.5049 0076345 120.7479 240.1151 13.97188380180416
THOR ABLESTAR DEB,1 00136U 61015W   24002.51610113  .00001957  00000-0  68357-3 0  9993,2 00136  67.5309  62.9791 0049366 136.2236 224.2803 14.36467900227694
THOR ABLESTAR DEB,1 00138U 61015Y   24002.51981999  .00000758  00000-0  53609-3 0  9990,2 00138  67.1541 147.0785 0027509 104.6814 255.7326 14.02881731176961
THOR ABLESTAR DEB,1 00141U 61015AB  24002.62404452  .00000495  00000-0  47583-3 0  9992,2 00141  66.5896  83.2341 0061860 273.0869  86.3129 13.87736183147351
THOR ABLESTAR DEB,1 00144U 61015AE  24002.52456757  .00000394  00000-0  37523-3 0  9990,2 00144  66.5002  85.6983 0046506 220.0676 139.6967 13.90717154159917
THOR ABLESTAR DEB,1 00145U 61015AF  24002.56566221  .00000413  00000-0  31451-3 0  9999,2 00145  66.9270  84.6679 0068305 240.1657 119.2627 14.02096710190951
THOR ABLESTAR DEB,1 00147U 61015AH  24002.62651410  .00001191  00000-0  57820-3 0  9995,2 00147  66.6170 166.2936 0056354 337.7055  22.1588 14.20977059206914
